name,price,city,year,district,area,roomsNumber
"5-комнатная квартира, 168.5 м², Алатауская трасса",67400000,Алматы,2023,,168.5,5
"2-комнатная квартира, 46 м², 10/12 этаж, Толе би 189/3 — Жарокова- толе би",41500000,Алматы,2022, Алмалинский р-н,46.0,2
"2-комнатная квартира, 62 м², 5/13 этаж, Просп. Назарбаева 28 — Уг. ул. Назарбаева, Рыскулова",38000000,Алматы,2023,,62.0,2
"6-комнатная квартира, 215 м², 5/5 этаж, Аль-Фараби 110а — Школа Haileybury, речка Есентай",175000000,Алматы,2000, Медеуский р-н,215.0,6
"1-комнатная квартира, 45 м², 2/5 этаж, мкр Саялы 85",19200000,Алматы,2016, Алатауский р-н,45.0,1
"2-комнатная квартира, 52 м², 4/5 этаж, Сатпаева 105А — Егизбаева",47000000,Алматы,1986, Бостандыкский р-н,52.0,2
"3-комнатная квартира, 110 м², 2/3 этаж, мкр Горный Гигант, Мкр Горный Гигант. ул. Ахмедиярова 44",90000000,Алматы,2023, Медеуский р-н,110.0,3
"4-комнатная квартира, 75 м², 5/5 этаж, мкр Орбита-1",44500000,Алматы,1973, Бостандыкский р-н,75.0,4
"3-комнатная квартира, 65 м², 3/4 этаж, Абылай хана — Ж/д вокзала Алматы 2",40000000,Алматы,1972, Жетысуский р-н,65.0,3
"3-комнатная квартира, 82 м², 3/12 этаж, Тажибаевой — Mega Centre",86000000,Алматы,2019, Бостандыкский р-н,82.0,3
"1-комнатная квартира, 40 м², 2/6 этаж, мкр Кокжиек 16",24700000,Алматы,2008, Жетысуский р-н,40.0,1
"2-комнатная квартира, 54.6 м², 7/9 этаж, мкр Жетысу-2 20",35000000,Алматы,1990, Ауэзовский р-н,54.6,2
"3-комнатная квартира, 64.9 м², 3/5 этаж, мкр Орбита-3 7",38900000,Алматы,1976, Бостандыкский р-н,64.9,3
"2-комнатная квартира, 50 м², 4/8 этаж, Гагарина",65000000,Алматы,2022, Бостандыкский р-н,50.0,2
"1-комнатная квартира, 62 м², 12/20 этаж, Брусиловского 163 — Шаккарима",35000000,Алматы,2011, Алмалинский р-н,62.0,1
"3-комнатная квартира, 67 м², 5/6 этаж, мкр Зердели (Алгабас-6) — Момушулы, уг, Монкеби",28990000,Алматы,2013, Алатауский р-н,67.0,3
"3-комнатная квартира, 90 м², 1/10 этаж, мкр Акбулак, Чуланова 143",50500000,Алматы,2012, Алатауский р-н,90.0,3
"2-комнатная квартира, 53 м², 4/5 этаж, Бекмоханова 77",30000000,Алматы,1996, Турксибский р-н,53.0,2
"3-комнатная квартира, 89 м², 14/15 этаж, Егизбаева 7/6",61000000,Алматы,2016, Бостандыкский р-н,89.0,3
"1-комнатная квартира, 44 м², 7/9 этаж, мкр Шугыла, Микрорайон «Шугыла» 342",25000000,Алматы,2018, Наурызбайский р-н,44.0,1
"3-комнатная квартира, 62 м², 4/4 этаж, Попова 1",49990000,Алматы,1965, Бостандыкский р-н,62.0,3
"1-комнатная квартира, 40 м², 5/9 этаж, Пушкина 28",33200000,Алматы,1980, Алмалинский р-н,40.0,1
"3-комнатная квартира, 139 м², 3/6 этаж, мкр Горный Гигант, Фурманова — Назарбаева",155000000,Алматы,2007, Медеуский р-н,139.0,3
"1-комнатная квартира, 45 м², 4/9 этаж, мкр Аккент 29",25000000,Алматы,2010, Алатауский р-н,45.0,1
"2-комнатная квартира, 43 м², 2/2 этаж, Суюнбая 263/12 — Рынок Алматы -1",20900000,Алматы,1955, Турксибский р-н,43.0,2
"2-комнатная квартира, 63 м², 2/3 этаж, Сейдимбека 110/1 — ул Астана",48000000,Алматы,2022, Наурызбайский р-н,63.0,2
"2-комнатная квартира, 71.7 м², 4/12 этаж, Аскарова — Саина",53775000,Алматы,2024, Бостандыкский р-н,71.7,2
"4-комнатная квартира, 167 м², 17/22 этаж, Аль-фараби 9",142000000,Алматы,2019, Медеуский р-н,167.0,4
"5-комнатная квартира, 130 м², 4/15 этаж, Мустафина 35 — Рыскулбекова",85000000,Алматы,2004, Бостандыкский р-н,130.0,5
"3-комнатная квартира, 50 м², 2/10 этаж, Алтын орда 6/40к2",25500000,Алматы,2019, Наурызбайский р-н,50.0,3
"1-комнатная квартира, 39 м², 10/13 этаж, Журавлева",28500000,Алматы,2023, Бостандыкский р-н,39.0,1
"2-комнатная квартира, 61.65 м², 7/12 этаж, мкр Калкаман-2, Калкаман 4Б",29493360,Алматы,2022, Наурызбайский р-н,61.65,2
"5-комнатная квартира, 168.5 м², Алатауская трасса",67400000,Алматы,2023,,168.5,5
"2-комнатная квартира, 65 м², Сейфуллина 533",65000000,Алматы,2022, Алмалинский р-н,65.0,2
"4-комнатная квартира, 133 м², 2/3 этаж, Алмалы 71/4",87000000,Алматы,2022,,133.0,4
"2-комнатная квартира, 50 м², 1/2 этаж, Казбекби 6 — Барибаева",40000000,Алматы,1931, Медеуский р-н,50.0,2
"3-комнатная квартира, 80 м², 3/6 этаж, Чехова 37 — Аймауытова",45500000,Алматы,1990, Турксибский р-н,80.0,3
"2-комнатная квартира, 60 м², 4/5 этаж, мкр Жулдыз-2 39 г",29000000,Алматы,2006, Турксибский р-н,60.0,2
"1-комнатная квартира, 26 м², 3/4 этаж, Жубанова — Саина",15500000,Алматы,1969, Ауэзовский р-н,26.0,1
"1-комнатная квартира, 35 м², 4/5 этаж, мкр Мамыр-1 2 — Шаляпина - Момышулы",26800000,Алматы,1994, Ауэзовский р-н,35.0,1
"2-комнатная квартира, 70 м², 16/16 этаж, Тлендиева 133 — Сатпаева",46700000,Алматы,2022, Бостандыкский р-н,70.0,2
"1-комнатная квартира, 38.7 м², 8/12 этаж, Сатпаева 90 — Туркебаева",40500000,Алматы,2019, Бостандыкский р-н,38.7,1
"1-комнатная квартира, 32.2 м², 6/12 этаж, Кульджинский тракт 156/5 — Бухтарминская",13900000,Алматы,2023,,32.2,1
"2-комнатная квартира, 42 м², 1/2 этаж, Сейфуллина — Сейфулина Варшавская",15000000,Алматы,1963, Турксибский р-н,42.0,2
"3-комнатная квартира, 81.3 м², 13/13 этаж, Просп. Назарбаева 28",55500000,Алматы,2022,,81.3,3
"3-комнатная квартира, 118 м², 11/13 этаж, Розыбакиева 283/1 — Розыбакиева Аль Фараби",97000000,Алматы,2014, Бостандыкский р-н,118.0,3
"3-комнатная квартира, 59 м², 4/4 этаж, Макатаева 196 — Муратбаева",35800000,Алматы,1970, Алмалинский р-н,59.0,3
"4-комнатная квартира, 119 м², Кенесары хана 54",58326000,Алматы,2013, Наурызбайский р-н,119.0,4
"1-комнатная квартира, 45 м², 6/9 этаж, мкр Жас Канат 1/13",22800000,Алматы,2015, Турксибский р-н,45.0,1
"2-комнатная квартира, 64.2 м², 4/5 этаж, Тимирязева 113 — Розыбакиева",62750000,Алматы,1986, Бостандыкский р-н,64.2,2
"3-комнатная квартира, 99.15 м², Аскарова — Саина",71280000,Алматы,2023, Ауэзовский р-н,99.15,3
"2-комнатная квартира, 54.9 м², 6/6 этаж, мкр Жулдыз-1, мкр Жулдыз-2 27г",34000000,Алматы,2007, Турксибский р-н,54.9,2
"2-комнатная квартира, 83.5 м², мкр. Астана 1/18",463039507,Алматы,2021, Ауэзовский р-н,83.5,2
"5-комнатная квартира, 315 м², Аскар Тау 364",378000000,Алматы,2022, Медеуский р-н,315.0,5
"2-комнатная квартира, 81.7 м², Жарокова 218",63726000,Алматы,2023, Бостандыкский р-н,81.7,2
"2-комнатная квартира, 68.6 м², 6/9 этаж, мкр Кокжиек, Мкр Кокжиек Сити 11 — Это новый Жк сдача через три месяца",22295000,Алматы,2023, Жетысуский р-н,68.6,2
"3-комнатная квартира, 120.9 м², ул. Жулдыз-5",60450000,Алматы,2022, Бостандыкский р-н,120.9,3
"3-комнатная квартира, 144.4 м², мкр «Мирас» 31",118030000,Алматы,2016, Бостандыкский р-н,144.4,3
"2-комнатная квартира, 55 м², 13/16 этаж, Навои 208/1 — Торайгырова",49500000,Алматы,2015, Бостандыкский р-н,55.0,2
"2-комнатная квартира, 85 м², 2/20 этаж, Прокофьева 148 — Шакарима",52900000,Алматы,2007, Алмалинский р-н,85.0,2
"2-комнатная квартира, 55.7 м², Гагарина 277/7",45117000,Алматы,2021, Бостандыкский р-н,55.7,2
"2-комнатная квартира, 96 м², 15/16 этаж, мкр Шугыла, Жуалы 28 — Сабденова",30500000,Алматы,2012, Наурызбайский р-н,96.0,2
"3-комнатная квартира, 68 м², 2/5 этаж, Навои 310 — проспект Аль-Фараби",65000000,Алматы,1977, Бостандыкский р-н,68.0,3
"4-комнатная квартира, 153.7 м², мкр Курамыс 78",130645000,Алматы,2023, Наурызбайский р-н,153.7,4
"2-комнатная квартира, 50 м², 11/12 этаж, проспект Абая 165 — Тургут Озала",50500000,Алматы,2022, Алмалинский р-н,50.0,2
"3-комнатная квартира, 100.1 м², Розыбакиева 237",79079000,Алматы,2022, Бостандыкский р-н,100.1,3
"4-комнатная квартира, 172.75 м², мкр Аскартау, Ремизовка",134745000,Алматы,2021, Бостандыкский р-н,172.75,4
"2-комнатная квартира, 71.41 м², Егизбаева 7г",52557760,Алматы,2024, Бостандыкский р-н,71.41,2
"4-комнатная квартира, 200 м², 2/3 этаж, Оспанова 85/52 — проспект Аль-Фараби",340000000,Алматы,2019, Медеуский р-н,200.0,4
"1-комнатная квартира, 42.3 м², 4/5 этаж, мкр Аксай-5 8",30000000,Алматы,1990, Ауэзовский р-н,42.3,1
"2-комнатная квартира, 59.5 м², А.Шарипова 100",523600000,Алматы,2024, Алмалинский р-н,59.5,2
"4-комнатная квартира, 137.65 м², мкр Коктобе, Сагадат Нурмагамбетова 138/2",156200000,Алматы,2023, Медеуский р-н,137.65,4
"6-комнатная квартира, 199 м², 20-я улица 284",45000000,Алматы,2022, Турксибский р-н,199.0,6
"1-комнатная квартира, 12 м², 1/2 этаж, мкр Кемел (Первомайское), актолкын 12г",5700000,Алматы,2016, Жетысуский р-н,12.0,1
"1-комнатная квартира, 42 м², 6/12 этаж, Ауэзова 4",33000000,Алматы,2023, Алмалинский р-н,42.0,1
"2-комнатная квартира, 50.9 м², 3/7 этаж, Толе би 160 — Угол Ауэзова",45000000,Алматы,1976, Алмалинский р-н,50.9,2
"1-комнатная квартира, 31 м², 1/4 этаж, мкр Таугуль, Пятницкого 75",19900000,Алматы,1962, Ауэзовский р-н,31.0,1
"3-комнатная квартира, 54 м², 9/13 этаж, Утеген батыра 17б",51000000,Алматы,2018, Ауэзовский р-н,54.0,3
"3-комнатная квартира, 79 м², 6/6 этаж, Жунисова 10 к5",25000000,Алматы,2019, Наурызбайский р-н,79.0,3
"3-комнатная квартира, 70 м², мкр Таугуль-2",46000000,Алматы,1990, Ауэзовский р-н,70.0,3
"2-комнатная квартира, 43 м², 5/5 этаж, мкр Казахфильм",28000000,Алматы,1976, Бостандыкский р-н,43.0,2
"2-комнатная квартира, 60 м², 1/9 этаж, мкр Думан-2 276",26500000,Алматы,2017, Медеуский р-н,60.0,2
"3-комнатная квартира, 150 м², 5-й переулок 16/3",199500000,Алматы,2015,,150.0,3
"2-комнатная квартира, 58 м², Абая 150/230",43000000,Алматы,2009, Бостандыкский р-н,58.0,2
"2-комнатная квартира, 50 м², 1/5 этаж, мкр Айнабулак-3 128",32999990,Алматы,1985, Жетысуский р-н,50.0,2
"3-комнатная квартира, 80.5 м², 10/10 этаж, мкр Жетысу-3 17",37000000,Алматы,2004, Ауэзовский р-н,80.5,3
"3-комнатная квартира, 77 м², 9/10 этаж, мкр Аккент 65",32990000,Алматы,2022, Алатауский р-н,77.0,3
"1-комнатная квартира, 33.8 м², мкр Мадениет, мкр. Мадениет",104780000,Алматы,2023, Алатауский р-н,33.8,1
"3-комнатная квартира, 60 м², 1/4 этаж, мкр Сайран 11",34500000,Алматы,1969, Ауэзовский р-н,60.0,3
"3-комнатная квартира, 108 м², 6/20 этаж, Снегина 33А — ул. Снегина, уг. Мендикулова",112500000,Алматы,2016, Медеуский р-н,108.0,3
"1-комнатная квартира, 18.8 м², 4/4 этаж, мкр №9 — Жандосова-Берегового",13500000,Алматы,1964, Ауэзовский р-н,18.8,1
"2-комнатная квартира, 64.1 м², 14/16 этаж, Гагарина 233 — Березовского",65500000,Алматы,2022, Бостандыкский р-н,64.1,2
"3-комнатная квартира, 111 м², 16/16 этаж, Гагарина проспект 124 — Абая",105000000,Алматы,2019, Бостандыкский р-н,111.0,3
"3-комнатная квартира, 76 м², 8/9 этаж, Алмагуль 15",54990000,Алматы,1981, Бостандыкский р-н,76.0,3
"2-комнатная квартира, 52.4 м², 9/16 этаж, Навои 208/7 — Торайгырова",51000000,Алматы,2015, Бостандыкский р-н,52.4,2
"2-комнатная квартира, 41.2 м², 1/3 этаж, Жандосова",32800000,Алматы,1961, Бостандыкский р-н,41.2,2
"2-комнатная квартира, 50 м², 11/12 этаж, Розыбакиева 336 — Ескараева",66000000,Алматы,2022, Бостандыкский р-н,50.0,2
"2-комнатная квартира, 86 м², 2/3 этаж, Кербулакская",130000000,Алматы,2019, Медеуский р-н,86.0,2
"3-комнатная квартира, 130 м², 19/22 этаж, Солодовникова 21а — Сатпаева",74000000,Алматы,2006, Бостандыкский р-н,130.0,3
"2-комнатная квартира, 59 м², 8/9 этаж, мкр Жетысу-2 — Улугбека",37000000,Алматы,1992, Ауэзовский р-н,59.0,2
"2-комнатная квартира, 57 м², 3/5 этаж, мкр Жулдыз-1",32000000,Алматы,1989, Турксибский р-н,57.0,2
"2-комнатная квартира, 46.8 м², 4/4 этаж, Саина 14/1 — Толе би напротив ТРЦ МЕТРО",19650000,Алматы,1973, Ауэзовский р-н,46.8,2
"1-комнатная квартира, 47 м², 2/4 этаж, мкр Зердели (Алгабас-6) 1/82",25000000,Алматы,2014, Алатауский р-н,47.0,1
"3-комнатная квартира, 78 м², 3/10 этаж, Карасай батыра 119/95",85000000,Алматы,2022, Алмалинский р-н,78.0,3
"1-комнатная квартира, 31 м², 7/12 этаж, Торайгырова 21/1 — Мустафина",31950000,Алматы,2021, Бостандыкский р-н,31.0,1
"3-комнатная квартира, 100.63 м², 5/20 этаж, Тургут Озала",48300000,Алматы,2024, Бостандыкский р-н,100.63,3
"2-комнатная квартира, 51.2 м², 2/5 этаж, Жарокова 225 — Басенова",46000000,Алматы,1989, Бостандыкский р-н,51.2,2
"3-комнатная квартира, 62.2 м², 4/5 этаж, Жибек жолы / Весновка — Гоголя / Муратбаева",43000000,Алматы,1977, Алмалинский р-н,62.2,3
"2-комнатная квартира, 60 м², 1/5 этаж, Жибек жолы 19 — Барибаева",55000000,Алматы,1972, Медеуский р-н,60.0,2
"2-комнатная квартира, 40 м², 7/10 этаж, мкр Аксай-1",27600000,Алматы,2018, Ауэзовский р-н,40.0,2
"3-комнатная квартира, 61.4 м², 2/3 этаж, мкр Алтай-1 — Супермаркет ""Романтик""",29000000,Алматы,1965, Турксибский р-н,61.4,3
"3-комнатная квартира, 48 м², 1/2 этаж, Успенского — Сейфуллина/ Успенского",20000000,Алматы,1960, Турксибский р-н,48.0,3
"1-комнатная квартира, 41 м², 1/5 этаж, мкр Мамыр-2 11 — Саина - Шаляпина",27000000,Алматы,1993, Ауэзовский р-н,41.0,1
"2-комнатная квартира, 45 м², 4/5 этаж, Радостовца 15 — Богенбай Батыра",31200000,Алматы,1977, Алмалинский р-н,45.0,2
"2-комнатная квартира, 43 м², мкр Орбита-3",34000000,Алматы,1976, Бостандыкский р-н,43.0,2
"2-комнатная квартира, 68 м², 4/6 этаж, мкр Горный Гигант, Жамакаева",70000000,Алматы,2007, Медеуский р-н,68.0,2
"2-комнатная квартира, 31.5 м², 2/5 этаж, Джандосова 82 — Угол Розыбакиева",16700000,Алматы,1983, Бостандыкский р-н,31.5,2
"2-комнатная квартира, 58 м², 12/12 этаж, Абишева 36/1",34990000,Алматы,2019, Наурызбайский р-н,58.0,2
"3-комнатная квартира, 61.6 м², 5/5 этаж, мкр Айнабулак-2 67 — Школа гимназия 118",29000000,Алматы,1983, Жетысуский р-н,61.6,3
"2-комнатная квартира, 100 м², 4/9 этаж, мкр Таугуль, Навои 72",71800000,Алматы,2012, Ауэзовский р-н,100.0,2
"2-комнатная квартира, 50.2 м², 2/5 этаж, Кожамкулова 110 — Пересечение Гоголя",42000000,Алматы,1977,,50.2,2
"5-комнатная квартира, 225 м², 14 27/1",135000000,Алматы,2023, Бостандыкский р-н,225.0,5
"2-комнатная квартира, 50.1 м², 3/15 этаж, Ауэзова 210/12",41000000,Алматы,2022, Алмалинский р-н,50.1,2
"3-комнатная квартира, 91.4 м², мкр Таусамалы, Жандосова 70а",452430000,Алматы,2023, Наурызбайский р-н,91.4,3
"2-комнатная квартира, 65 м², 3/3 этаж, Жибек жолы — Байтурсынова",48000000,Алматы,1949, Алмалинский р-н,65.0,2
"1-комнатная квартира, 42 м², 9/9 этаж, мкр Тастак-2 63",28500000,Алматы,1987, Алмалинский р-н,42.0,1
"1-комнатная квартира, 37.6 м², Булкушева — Сейфуллина",21432000,Алматы,2023, Жетысуский р-н,37.6,1
"4-комнатная квартира, 143.8 м², Алатауская трасса",57520000,Алматы,2023,,143.8,4
"2-комнатная квартира, 69.4 м², Жарокова 370",589900000,Алматы,2023, Бостандыкский р-н,69.4,2
"3-комнатная квартира, 120.3 м², Момышулы, севернее ул. Монке би",409020007,Алматы,2023, Алатауский р-н,120.3,3
"3-комнатная квартира, 121 м², Аль-Фараби 116/1",175450000,Алматы,2023, Медеуский р-н,121.0,3
"3-комнатная квартира, 72 м², 1/9 этаж, мкр Аксай-4",44500000,Алматы,1988, Ауэзовский р-н,72.0,3
"2-комнатная квартира, 61.1 м², 15/15 этаж, Ауэзова Райымбека 210/7",39000000,Алматы,2023, Алмалинский р-н,61.1,2
